Id interne de valorisation;Date;Type;Famille de produit;Code produit;Produit;Param1;Param2;Param3;Description;Prénom utilisateur;Nom utilisateur;Quantité;Prix d'achat;Client/revendeur direct (niv. 1);Réf. client/revendeur direct (niv. 1);Prix d'achat niv. 1 (Prix de revente);Nom client Niveau 2;Ref client Niveau 2;Prix client Niveau 2
17373221653;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-2047-01-M;FTTH Orange 1 Gbps / 800 Mbps;VIA000000049422;THEYS INVESTISSEMENTS;2022-12-14 00:00:00;;;;1,00;42,00;THEYS INVESTISSEMENTS;411THEYS;0,00;THEYS INVESTISSEMENTS (site principal);411THEYS;0,00
17373271474;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-204-01-M;FTTH 1 Gb/s Kosc - Z1;S201112_91065;SCM BROCA;2020-11-12 00:00:00;;;;1,00;39,00;SCM BROCA;411SCMBROCA;0,00;;;
17373331644;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-200-01-M;FTTH 1 Gb/s Kosc - Z1;S191007_39007;AMBULANCE FAUMONTOISE;2019-10-07 00:00:00;;;;1,00;39,00;TRANSPORTS ROSE XAVIER;411ROSEXAVIER;0,00;;;
17373383344;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1043-01-M;FTTH Bouygues 1 Gbps;0844071588;THEYS FLANDRES ENVIRONNEMENT;2023-01-03 18:39:09;;;;1,00;39,00;THEYS INVESTISSEMENTS;411THEYS;0,00;THEYS INVESTISSEMENTS (site principal);411THEYS;0,00
17373385737;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-209-01-M;FTTH Kosc 1Gb / 800 Mb - Zone A;S240321_45665;DELEU IMMOBILIER (Roncq);2024-03-21 18:15:44;;;;1,00;39,00;DELEU IMMOBILIER (Wasquehal);411DELEU;0,00;DELEU IMMOBILIER (Roncq);411DELEURONCQ;0,00
17373387215;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1222-01-M;FTTH SFR 1 Gb / 200 Mb - Zone ZMD;LAAIG6X9;SELARL H2P;2022-12-22 00:00:00;;;;1,00;39,00;SELARL H2P;411SELARL;0,00;;;
17373395478;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-2047-01-M;FTTH Orange 1 Gbps / 800 Mbps;VIA000000086026;AMBUL 'EUROPE ASSISTANCE;2024-03-07 00:00:00;;;;1,00;42,00;AMBUL 'EUROPE ASSISTANCE;411AMBUL;0,00;;;
17373402729;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-209-01-M;FTTH Kosc 1Gb / 800 Mb - Zone A;S240314_54752;SILLIKER;2024-03-14 14:46:40;;;;1,00;39,00;SILLIKER - MERIEUX NUTRISCIENCES;411MERIEUX;0,00;;;
17373412109;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-209-01-M;FTTH Kosc 1Gb / 800 Mb - Zone A;S240327_49939;SILLIKER;2024-03-27 19:02:08;;;;1,00;39,00;SILLIKER - MERIEUX NUTRISCIENCES;411MERIEUX;0,00;;;
17373436617;2025-06-01 00:00:00;Abonnement;Liens d'accès FR;03-1035-01-M;FTTH Orange 1 Gb;753135922;CUZCO TP;2020-02-01 00:00:00;;;;1,00;49,00;CUZCO TP;411CUZCO;0,00;;;
